musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,prevOut,checkName
Lars Monsen,61,3/4 22:52:00,16,3/5 02:56:00,15,4h 4m,3h 7m,3/4 19:45:00,9.63,Skwentna
Allen Moore,26,3/4 23:03:00,16,3/5 03:06:00,16,4h 3m,3h 5m,3/4 19:58:00,9.73,Skwentna
Martin Buser,28,3/4 23:21:00,16,3/5 03:10:00,16,3h 49m,2h 53m,3/4 20:28:00,10.40,Skwentna
Rob Cooke,10,3/5 03:04:00,16,3/5 03:12:00,16,0h 8m,8h 4m,3/4 19:00:00,3.72,Skwentna
Ketil Reitan,54,3/4 23:33:00,16,3/5 03:15:00,16,3h 42m,3h 5m,3/4 20:28:00,9.73,Skwentna
Shaynee Traska,5,3/5 03:02:00,16,3/5 03:18:00,16,0h 16m,8h 27m,3/4 18:35:00,3.55,Skwentna
Katherine Keith,51,3/5 03:19:00,16,3/5 03:19:00,15,0h 0m,7h 5m,3/4 20:14:00,4.24,Skwentna
Ramey Smyth,21,3/4 22:45:00,16,3/5 03:23:00,16,4h 38m,3h 44m,3/4 19:01:00,8.04,Skwentna
Kelly Maixner,52,3/4 23:21:00,16,3/5 03:30:00,16,4h 9m,3h 22m,3/4 19:59:00,8.91,Skwentna
"Michael Williams, Jr.",27,3/5 00:20:00,16,3/5 03:30:00,16,3h 10m,5h 21m,3/4 18:59:00,5.61,Skwentna
Brett Bruggeman,37,3/5 03:16:00,16,3/5 03:31:00,16,0h 15m,7h 47m,3/4 19:29:00,3.85,Skwentna
DeeDee Jonrowe,39,3/4 23:02:00,16,3/5 03:43:00,16,4h 41m,3h 28m,3/4 19:34:00,8.65,Skwentna
Scott Janssen,23,3/4 22:09:00,16,3/5 03:50:00,16,5h 41m,3h 15m,3/4 18:54:00,9.23,Skwentna
Travis Beals,60,3/5 00:51:00,16,3/5 03:52:00,16,3h 1m,4h 51m,3/4 20:00:00,6.19,Skwentna
Jessie Holmes,41,3/4 22:59:00,16,3/5 03:53:00,16,4h 54m,3h 6m,3/4 19:53:00,9.68,Skwentna
Emily Maxwell,58,3/4 23:59:00,15,3/5 04:09:00,15,4h 10m,3h 29m,3/4 20:30:00,8.61,Skwentna
Aaron Peck,50,3/5 04:04:00,16,3/5 04:11:00,16,0h 7m,7h 56m,3/4 20:08:00,3.78,Skwentna
Jim Lanier,32,3/4 22:42:00,16,3/5 04:29:00,16,5h 47m,3h 34m,3/4 19:08:00,8.41,Skwentna
Matthew Failor,55,3/5 01:04:00,16,3/5 04:36:00,16,3h 32m,2h 59m,3/4 22:05:00,10.06,Skwentna
Bradley Farquhar,65,3/5 01:40:00,14,3/5 04:57:00,14,3h 17m,3h 20m,3/4 22:20:00,9.00,Skwentna
Michi Konno,63,3/4 23:13:00,16,3/5 05:02:00,16,5h 49m,3h 13m,3/4 20:00:00,9.33,Skwentna
Jeff King,40,3/5 00:00:00,16,3/5 05:03:00,16,5h 3m,3h 7m,3/4 20:53:00,9.63,Skwentna
Noah Pereira,49,3/5 03:00:00,16,3/5 06:10:00,16,3h 10m,3h 16m,3/4 23:44:00,9.18,Skwentna
Magnus Kaltenborn,6,3/5 01:18:00,16,3/5 06:12:00,16,4h 54m,3h 6m,3/4 22:12:00,9.68,Skwentna
Monica Zappa,48,3/5 01:29:00,16,3/5 06:19:00,16,4h 50m,5h 41m,3/4 19:48:00,5.28,Skwentna
Lev Shvarts,22,3/5 01:13:00,16,3/5 06:21:00,16,5h 8m,3h 11m,3/4 22:02:00,9.42,Skwentna
Steve Watkins,59,3/4 23:43:00,16,3/5 06:29:00,16,6h 46m,3h 38m,3/4 20:05:00,8.26,Skwentna
Misha Wiljes,19,3/5 02:24:00,14,3/5 07:08:00,14,4h 44m,3h 6m,3/4 23:18:00,9.68,Skwentna
Andrew Nolan,56,3/5 02:48:00,16,3/5 07:15:00,16,4h 27m,3h 17m,3/4 23:31:00,9.14,Skwentna
Marcelle Fressineau,35,3/5 00:34:00,14,3/5 07:40:00,14,7h 6m,3h 10m,3/4 21:24:00,9.47,Skwentna
Dave Delcourt,57,3/5 02:41:00,16,3/5 07:44:00,16,5h 3m,3h 21m,3/4 23:20:00,8.96,Skwentna
Anja Radano,24,3/5 03:27:00,16,3/5 08:24:00,16,4h 57m,3h 26m,3/5 00:01:00,8.74,Skwentna
Jason Stewart,66,3/5 03:58:00,16,3/5 08:55:00,16,4h 57m,3h 14m,3/5 00:44:00,9.28,Skwentna
Scott White,62,3/5 02:58:00,16,3/5 09:10:00,16,6h 12m,2h 59m,3/4 23:59:00,10.06,Skwentna
Tim Muto,42,3/5 04:10:00,14,3/5 09:27:00,14,5h 17m,8h 17m,3/4 19:53:00,3.62,Skwentna
Tom Schonberger,25,3/5 04:33:00,16,3/5 10:30:00,16,5h 57m,4h 2m,3/5 00:31:00,7.44,Skwentna
Peter Fleck,67,3/5 04:48:00,16,3/5 10:40:00,16,5h 52m,3h 48m,3/5 01:00:00,7.89,Skwentna
Tara Cicatello,44,3/5 05:15:00,14,3/5 12:23:00,14,7h 8m,3h 45m,3/5 01:30:00,8.00,Skwentna
Zoya DeNure,47,3/5 03:05:00,15,,,,2h 58m,3/5 00:07:00,10.11,Skwentna
Ray Redington Jr,17,3/5 06:36:00,16,3/5 06:37:00,16,0h 1m,4h 51m,3/5 01:45:00,8.25,Finger Lake
Mitch Seavey,13,3/5 06:48:00,15,3/5 06:58:00,15,0h 10m,5h 5m,3/5 01:43:00,7.87,Finger Lake
Aliy Zirkle,31,3/5 06:53:00,16,3/5 06:58:00,16,0h 5m,4h 53m,3/5 02:00:00,8.19,Finger Lake
Jessie Royer,36,3/5 07:09:00,16,3/5 07:13:00,16,0h 4m,4h 55m,3/5 02:14:00,8.14,Finger Lake
Nicolas Petit,46,3/5 03:56:00,16,3/5 07:38:00,16,3h 42m,4h 43m,3/4 23:13:00,8.48,Finger Lake
Linwood Fiedler,8,3/5 03:43:00,16,3/5 08:03:00,16,4h 20m,4h 58m,3/4 22:45:00,8.05,Finger Lake
Hugh Neff,68,3/5 07:19:00,16,3/5 08:16:00,15,0h 57m,5h 2m,3/5 02:17:00,7.95,Finger Lake
Lars Monsen,61,3/5 08:16:00,15,3/5 08:20:00,15,0h 4m,5h 20m,3/5 02:56:00,7.50,Finger Lake
Ryan Redington,7,3/5 05:37:00,16,3/5 08:24:00,16,2h 47m,4h 37m,3/5 01:00:00,8.66,Finger Lake
Jessie Holmes,41,3/5 08:27:00,16,3/5 08:33:00,16,0h 6m,4h 34m,3/5 03:53:00,8.76,Finger Lake
Wade Marrs,11,3/5 05:45:00,16,3/5 08:34:00,15,2h 49m,4h 45m,3/5 01:00:00,8.42,Finger Lake
Kelly Maixner,52,3/5 08:33:00,16,3/5 08:35:00,16,0h 2m,5h 3m,3/5 03:30:00,7.92,Finger Lake
Peter Kaiser,30,3/5 08:39:00,16,3/5 08:40:00,16,0h 1m,8h 47m,3/4 23:52:00,4.55,Finger Lake
Ramey Smyth,21,3/5 08:48:00,16,3/5 08:53:00,16,0h 5m,5h 25m,3/5 03:23:00,7.38,Finger Lake
Cody Strathe,2,3/5 08:59:00,16,3/5 09:01:00,16,0h 2m,8h 34m,3/5 00:25:00,4.67,Finger Lake
Joar Leifseth Ulsom,33,3/5 06:07:00,16,3/5 09:03:00,16,2h 56m,4h 49m,3/5 01:18:00,8.30,Finger Lake
Mats Pettersson,3,3/5 06:20:00,16,3/5 09:19:00,16,2h 59m,4h 45m,3/5 01:35:00,8.42,Finger Lake
Scott Janssen,23,3/5 09:07:00,16,3/5 09:19:00,15,0h 12m,5h 17m,3/5 03:50:00,7.57,Finger Lake
Robert Redington,34,3/5 06:22:00,16,3/5 09:20:00,16,2h 58m,4h 49m,3/5 01:33:00,8.30,Finger Lake
Richie Diehl,29,3/5 05:44:00,16,3/5 09:52:00,16,4h 8m,4h 37m,3/5 01:07:00,8.66,Finger Lake
Aaron Burmeister,64,3/5 06:51:00,16,3/5 10:04:00,16,3h 13m,4h 55m,3/5 01:56:00,8.14,Finger Lake
Emily Maxwell,58,3/5 07:53:00,15,3/5 10:04:00,15,2h 11m,3h 44m,3/5 04:09:00,10.71,Finger Lake
Rick Casillo,9,3/5 06:27:00,16,3/5 10:06:00,16,3h 39m,5h 0m,3/5 01:27:00,8.00,Finger Lake
Anna Berington,4,3/5 06:25:00,16,3/5 10:08:00,15,3h 43m,5h 14m,3/5 01:11:00,7.64,Finger Lake
Michelle Phillips,18,3/5 06:31:00,16,3/5 10:08:00,15,3h 37m,4h 56m,3/5 01:35:00,8.11,Finger Lake
Bradley Farquhar,65,3/5 10:08:00,14,3/5 10:12:00,14,0h 4m,5h 11m,3/5 04:57:00,7.72,Finger Lake
Jeff King,40,3/5 10:14:00,16,3/5 10:19:00,15,0h 5m,5h 11m,3/5 05:03:00,7.72,Finger Lake
Michi Konno,63,3/5 10:01:00,16,3/5 10:31:00,15,0h 30m,4h 59m,3/5 05:02:00,8.03,Finger Lake
Ketil Reitan,54,3/5 08:25:00,16,3/5 11:06:00,15,2h 41m,5h 10m,3/5 03:15:00,7.74,Finger Lake
Matt Hall,15,3/5 11:02:00,16,3/5 11:14:00,15,0h 12m,9h 0m,3/5 02:02:00,4.44,Finger Lake
Tom Knolmayer,43,3/5 11:23:00,16,3/5 11:26:00,16,0h 3m,9h 9m,3/5 02:14:00,4.37,Finger Lake
Charley Bejna,38,3/5 07:12:00,16,3/5 11:28:00,16,4h 16m,5h 3m,3/5 02:09:00,7.92,Finger Lake
Kristy Berington,20,3/5 07:16:00,16,3/5 11:36:00,15,4h 20m,5h 27m,3/5 01:49:00,7.34,Finger Lake
Martin Buser,28,3/5 07:53:00,16,3/5 11:36:00,16,3h 43m,4h 43m,3/5 03:10:00,8.48,Finger Lake
Travis Beals,60,3/5 08:35:00,16,3/5 11:37:00,15,3h 2m,4h 43m,3/5 03:52:00,8.48,Finger Lake
Allen Moore,26,3/5 07:55:00,16,3/5 11:41:00,15,3h 46m,4h 49m,3/5 03:06:00,8.30,Finger Lake
