musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Cody Strathe,2,3/8 23:42:00,14,3/9 05:38:00,14,5h 56m,13h 58m,3/8 09:44:00,5.73,Iditarod,2018-03-08T23:42:00Z,2018-03-09T05:38:00Z,2018-03-08T09:44:00Z,838,356,0,0,27,29
Jessie Holmes,41,3/9 02:24:00,15,3/9 07:04:00,15,4h 40m,12h 53m,3/8 13:31:00,6.21,Iditarod,2018-03-09T02:24:00Z,2018-03-09T07:04:00Z,2018-03-08T13:31:00Z,773,280,0,0,29,7
Katherine Keith,51,3/9 05:40:00,14,3/9 09:44:00,14,4h 4m,16h 38m,3/8 13:02:00,4.81,Iditarod,2018-03-09T05:40:00Z,2018-03-09T09:44:00Z,2018-03-08T13:02:00Z,998,244,0,0,32,26
Tom Knolmayer,43,3/9 04:42:00,13,3/9 10:01:00,13,5h 19m,14h 59m,3/8 13:43:00,5.34,Iditarod,2018-03-09T04:42:00Z,2018-03-09T10:01:00Z,2018-03-08T13:43:00Z,899,319,0,0,31,32
Anna Berington,4,3/9 06:14:00,12,3/9 11:11:00,12,4h 57m,13h 59m,3/8 16:15:00,5.72,Iditarod,2018-03-09T06:14:00Z,2018-03-09T11:11:00Z,2018-03-08T16:15:00Z,839,297,0,0,33,22
"Michael Williams, Jr.",27,3/9 06:21:00,13,3/9 13:51:00,13,7h 30m,13h 40m,3/8 16:41:00,5.85,Iditarod,2018-03-09T06:21:00Z,2018-03-09T13:51:00Z,2018-03-08T16:41:00Z,820,450,0,0,34,25
Charley Bejna,38,3/9 06:26:00,14,3/9 14:02:00,14,7h 36m,15h 38m,3/8 14:48:00,5.12,Iditarod,2018-03-09T06:26:00Z,2018-03-09T14:02:00Z,2018-03-08T14:48:00Z,938,456,0,0,35,35
Jeff King,40,3/8 16:08:00,14,3/9 17:04:00,13,24h 56m,21h 27m,3/7 18:41:00,3.73,Iditarod,2018-03-08T16:08:00Z,2018-03-09T17:04:00Z,2018-03-07T18:41:00Z,1287,1496,1,1,5,24
Larry Daugherty,14,3/8 17:34:00,15,3/9 19:24:00,15,25h 50m,23h 37m,3/7 17:57:00,3.39,Iditarod,2018-03-08T17:34:00Z,2018-03-09T19:24:00Z,2018-03-07T17:57:00Z,1417,1550,0,1,6,40
Noah Pereira,49,3/9 15:07:00,14,3/9 21:15:00,12,6h 8m,18h 7m,3/8 21:00:00,4.42,Iditarod,2018-03-09T15:07:00Z,2018-03-09T21:15:00Z,2018-03-08T21:00:00Z,1087,368,2,0,38,31
Kristy Berington,20,3/9 15:03:00,13,3/9 21:24:00,13,6h 21m,18h 18m,3/8 20:45:00,4.37,Iditarod,2018-03-09T15:03:00Z,2018-03-09T21:24:00Z,2018-03-08T20:45:00Z,1098,381,0,0,36,36
Andy Pohl,12,3/9 15:05:00,12,3/9 21:25:00,12,6h 20m,18h 20m,3/8 20:45:00,4.36,Iditarod,2018-03-09T15:05:00Z,2018-03-09T21:25:00Z,2018-03-08T20:45:00Z,1100,380,0,0,37,37
Bradley Farquhar,65,3/9 15:32:00,11,3/9 21:59:00,11,6h 27m,21h 0m,3/8 18:32:00,3.81,Iditarod,2018-03-09T15:32:00Z,2018-03-09T21:59:00Z,2018-03-08T18:32:00Z,1260,387,0,0,42,44
Emily Maxwell,58,3/9 15:32:00,13,3/9 22:10:00,13,6h 38m,21h 26m,3/8 18:06:00,3.73,Iditarod,2018-03-09T15:32:00Z,2018-03-09T22:10:00Z,2018-03-08T18:06:00Z,1286,398,0,0,43,33
Aaron Peck,50,3/9 15:08:00,14,3/9 22:37:00,14,7h 29m,17h 3m,3/8 22:05:00,4.69,Iditarod,2018-03-09T15:08:00Z,2018-03-09T22:37:00Z,2018-03-08T22:05:00Z,1023,449,0,0,39,34
Jim Lanier,32,3/9 15:15:00,15,3/9 23:10:00,15,7h 55m,21h 51m,3/8 17:24:00,3.66,Iditarod,2018-03-09T15:15:00Z,2018-03-09T23:10:00Z,2018-03-08T17:24:00Z,1311,475,0,0,40,NA
Scott Janssen,23,3/9 15:29:00,14,3/10 01:38:00,14,10h 9m,21h 13m,3/8 18:16:00,3.77,Iditarod,2018-03-09T15:29:00Z,2018-03-10T01:38:00Z,2018-03-08T18:16:00Z,1273,609,0,0,41,NA
Monica Zappa,48,3/9 15:50:00,15,3/10 02:39:00,14,10h 49m,14h 34m,3/9 01:16:00,5.49,Iditarod,2018-03-09T15:50:00Z,2018-03-10T02:39:00Z,2018-03-09T01:16:00Z,874,649,1,0,44,38
Allen Moore,26,3/9 18:46:00,13,3/10 03:02:00,13,8h 16m,18h 53m,3/8 23:53:00,4.24,Iditarod,2018-03-09T18:46:00Z,2018-03-10T03:02:00Z,2018-03-08T23:53:00Z,1133,496,0,0,46,NA
Jeff Deeter,45,3/9 16:46:00,11,3/10 03:03:00,10,10h 17m,17h 8m,3/8 23:38:00,4.67,Iditarod,2018-03-09T16:46:00Z,2018-03-10T03:03:00Z,2018-03-08T23:38:00Z,1028,617,1,0,45,43
Brett Bruggeman,37,3/9 18:46:00,15,3/10 03:09:00,15,8h 23m,18h 29m,3/9 00:17:00,4.33,Iditarod,2018-03-09T18:46:00Z,2018-03-10T03:09:00Z,2018-03-09T00:17:00Z,1109,503,0,0,47,39
Dave Delcourt,57,3/9 21:00:00,14,3/10 05:00:00,14,8h 0m,16h 3m,3/9 04:57:00,4.98,Iditarod,2018-03-09T21:00:00Z,2018-03-10T05:00:00Z,2018-03-09T04:57:00Z,963,480,0,0,49,47
Andrew Nolan,56,3/9 22:36:00,12,3/10 06:43:00,12,8h 7m,19h 31m,3/9 03:05:00,4.1,Iditarod,2018-03-09T22:36:00Z,2018-03-10T06:43:00Z,2018-03-09T03:05:00Z,1171,487,0,0,51,30
Alan Eischens,53,3/9 19:14:00,14,3/10 06:54:00,14,11h 40m,18h 41m,3/9 00:33:00,4.28,Iditarod,2018-03-09T19:14:00Z,2018-03-10T06:54:00Z,2018-03-09T00:33:00Z,1121,700,0,0,48,NA
Shaynee Traska,5,3/9 22:45:00,15,3/10 06:56:00,15,8h 11m,18h 27m,3/9 04:18:00,4.34,Iditarod,2018-03-09T22:45:00Z,2018-03-10T06:56:00Z,2018-03-09T04:18:00Z,1107,491,0,0,52,48
Lev Shvarts,22,3/9 22:25:00,15,3/10 07:52:00,14,9h 27m,17h 54m,3/9 04:31:00,4.47,Iditarod,2018-03-09T22:25:00Z,2018-03-10T07:52:00Z,2018-03-09T04:31:00Z,1074,567,1,0,50,41
Meredith Mapes,16,3/10 01:46:00,13,3/10 08:55:00,12,7h 9m,17h 25m,3/9 08:21:00,4.59,Iditarod,2018-03-10T01:46:00Z,2018-03-10T08:55:00Z,2018-03-09T08:21:00Z,1045,429,1,0,54,49
Rob Cooke,10,3/10 03:20:00,16,3/10 09:27:00,14,6h 7m,18h 28m,3/9 08:52:00,4.33,Iditarod,2018-03-10T03:20:00Z,2018-03-10T09:27:00Z,2018-03-09T08:52:00Z,1108,367,2,0,56,NA
Peter Fleck,67,3/10 01:38:00,15,3/10 09:52:00,14,8h 14m,16h 58m,3/9 08:40:00,4.72,Iditarod,2018-03-10T01:38:00Z,2018-03-10T09:52:00Z,2018-03-09T08:40:00Z,1018,494,1,0,53,42
Misha Wiljes,19,3/10 04:04:00,14,3/10 10:54:00,14,6h 50m,16h 59m,3/9 11:05:00,4.71,Iditarod,2018-03-10T04:04:00Z,2018-03-10T10:54:00Z,2018-03-09T11:05:00Z,1019,410,0,0,59,45
Jason Stewart,66,3/10 02:58:00,15,3/10 11:14:00,15,8h 16m,16h 17m,3/9 10:41:00,4.91,Iditarod,2018-03-10T02:58:00Z,2018-03-10T11:14:00Z,2018-03-09T10:41:00Z,977,496,0,0,55,50
Magnus Kaltenborn,6,3/10 03:59:00,16,3/10 11:38:00,16,7h 39m,18h 19m,3/9 09:40:00,4.37,Iditarod,2018-03-10T03:59:00Z,2018-03-10T11:38:00Z,2018-03-09T09:40:00Z,1099,459,0,0,58,52
Anja Radano,24,3/10 03:46:00,13,3/10 11:57:00,13,8h 11m,16h 54m,3/9 10:52:00,4.73,Iditarod,2018-03-10T03:46:00Z,2018-03-10T11:57:00Z,2018-03-09T10:52:00Z,1014,491,0,0,57,51
Tim Muto,42,3/10 04:29:00,13,3/10 12:37:00,13,8h 8m,15h 40m,3/9 12:49:00,5.11,Iditarod,2018-03-10T04:29:00Z,2018-03-10T12:37:00Z,2018-03-09T12:49:00Z,940,488,0,0,60,46
Marcelle Fressineau,35,3/10 06:44:00,13,3/10 14:13:00,13,7h 29m,16h 34m,3/9 14:10:00,4.83,Iditarod,2018-03-10T06:44:00Z,2018-03-10T14:13:00Z,2018-03-09T14:10:00Z,994,449,0,0,61,NA
Tara Cicatello,44,3/10 17:23:00,13,3/11 03:07:00 *,13,8h 44m,20h 11m,3/9 21:12:00,3.96,Iditarod,2018-03-10T17:23:00Z,2018-03-11T03:07:00Z,2018-03-09T21:12:00Z,1211,584,0,0,62,NA
Steve Watkins,59,3/10 17:30:00,13,3/11 04:30:00 *,13,10h 0m,20h 5m,3/9 21:25:00,3.98,Iditarod,2018-03-10T17:30:00Z,2018-03-11T04:30:00Z,2018-03-09T21:25:00Z,1205,660,0,0,63,NA
Tom Schonberger,25,3/10 20:21:00,11,3/11 05:31:00 *,11,8h 10m,20h 51m,3/9 23:30:00,3.84,Iditarod,2018-03-10T20:21:00Z,2018-03-11T05:31:00Z,2018-03-09T23:30:00Z,1251,550,0,0,64,NA
Nicolas Petit,46,3/9 02:02:00,14,3/9 02:12:00,14,0h 10m,7h 0m,3/8 19:02:00,7.86,Shageluk,2018-03-09T02:02:00Z,2018-03-09T02:12:00Z,2018-03-08T19:02:00Z,420,10,0,0,1,2
Mitch Seavey,13,3/9 02:56:00,13,3/9 07:28:00,13,4h 32m,7h 10m,3/8 19:46:00,7.67,Shageluk,2018-03-09T02:56:00Z,2018-03-09T07:28:00Z,2018-03-08T19:46:00Z,430,272,0,0,2,3
Joar Leifseth Ulsom,33,3/9 04:42:00,15,3/9 07:42:00,15,3h 0m,7h 4m,3/8 21:38:00,7.78,Shageluk,2018-03-09T04:42:00Z,2018-03-09T07:42:00Z,2018-03-08T21:38:00Z,424,180,0,0,3,1
Mats Pettersson,3,3/9 14:00:00,14,3/9 14:27:00,14,0h 27m,11h 45m,3/9 02:15:00,4.68,Shageluk,2018-03-09T14:00:00Z,2018-03-09T14:27:00Z,2018-03-09T02:15:00Z,705,27,0,0,23,18
Richie Diehl,29,3/9 07:25:00,13,3/9 15:25:00,13,8h 0m,7h 43m,3/8 23:42:00,7.13,Shageluk,2018-03-09T07:25:00Z,2018-03-09T15:25:00Z,2018-03-08T23:42:00Z,463,480,0,0,4,6
Peter Kaiser,30,3/9 07:29:00,12,3/9 15:29:00,12,8h 0m,7h 39m,3/8 23:50:00,7.19,Shageluk,2018-03-09T07:29:00Z,2018-03-09T15:29:00Z,2018-03-08T23:50:00Z,459,480,0,0,5,5
Ray Redington Jr,17,3/9 07:34:00,15,3/9 15:34:00,14,8h 0m,7h 44m,3/8 23:50:00,7.11,Shageluk,2018-03-09T07:34:00Z,2018-03-09T15:34:00Z,2018-03-08T23:50:00Z,464,480,1,0,6,4
Jessie Royer,36,3/9 07:58:00,14,3/9 15:58:00,14,8h 0m,8h 13m,3/8 23:45:00,6.69,Shageluk,2018-03-09T07:58:00Z,2018-03-09T15:58:00Z,2018-03-08T23:45:00Z,493,480,0,0,7,16
Wade Marrs,11,3/9 07:58:00,12,3/9 15:58:00,12,8h 0m,7h 51m,3/9 00:07:00,7.01,Shageluk,2018-03-09T07:58:00Z,2018-03-09T15:58:00Z,2018-03-09T00:07:00Z,471,480,0,0,8,NA
Linwood Fiedler,8,3/9 08:01:00,14,3/9 16:01:00,13,8h 0m,7h 52m,3/9 00:09:00,6.99,Shageluk,2018-03-09T08:01:00Z,2018-03-09T16:01:00Z,2018-03-09T00:09:00Z,472,480,1,0,9,10
Aaron Burmeister,64,3/9 08:15:00,13,3/9 16:15:00,13,8h 0m,8h 11m,3/9 00:04:00,6.72,Shageluk,2018-03-09T08:15:00Z,2018-03-09T16:15:00Z,2018-03-09T00:04:00Z,491,480,0,0,10,12
Aliy Zirkle,31,3/9 08:52:00,14,3/9 16:53:00,14,8h 1m,8h 31m,3/9 00:21:00,6.46,Shageluk,2018-03-09T08:52:00Z,2018-03-09T16:53:00Z,2018-03-09T00:21:00Z,511,481,0,0,11,15
Ketil Reitan,54,3/9 13:08:00,13,3/9 17:06:00,13,3h 58m,9h 3m,3/9 04:05:00,6.08,Shageluk,2018-03-09T13:08:00Z,2018-03-09T17:06:00Z,2018-03-09T04:05:00Z,543,238,0,0,17,14
Lars Monsen,61,3/9 13:50:00,15,3/9 17:30:00,15,3h 40m,8h 20m,3/9 05:30:00,6.6,Shageluk,2018-03-09T13:50:00Z,2018-03-09T17:30:00Z,2018-03-09T05:30:00Z,500,220,0,0,22,20
Travis Beals,60,3/9 09:38:00,14,3/9 17:38:00,14,8h 0m,8h 7m,3/9 01:31:00,6.78,Shageluk,2018-03-09T09:38:00Z,2018-03-09T17:38:00Z,2018-03-09T01:31:00Z,487,480,0,0,12,9
Kelly Maixner,52,3/9 13:25:00,15,3/9 17:41:00,15,4h 16m,11h 49m,3/9 01:36:00,4.65,Shageluk,2018-03-09T13:25:00Z,2018-03-09T17:41:00Z,2018-03-09T01:36:00Z,709,256,0,0,19,17
Hugh Neff,68,3/9 09:49:00,13,3/9 17:49:00,12,8h 0m,9h 15m,3/9 00:34:00,5.95,Shageluk,2018-03-09T09:49:00Z,2018-03-09T17:49:00Z,2018-03-09T00:34:00Z,555,480,1,0,13,21
Michelle Phillips,18,3/9 14:29:00,14,3/9 18:25:00,13,3h 56m,12h 26m,3/9 02:03:00,4.42,Shageluk,2018-03-09T14:29:00Z,2018-03-09T18:25:00Z,2018-03-09T02:03:00Z,746,236,1,0,25,19
Matthew Failor,55,3/9 10:59:00,16,3/9 19:01:00,16,8h 2m,7h 56m,3/9 03:03:00,6.93,Shageluk,2018-03-09T10:59:00Z,2018-03-09T19:01:00Z,2018-03-09T03:03:00Z,476,482,0,0,14,13
Matt Hall,15,3/9 11:11:00,14,3/9 19:11:00,14,8h 0m,8h 27m,3/9 02:44:00,6.51,Shageluk,2018-03-09T11:11:00Z,2018-03-09T19:11:00Z,2018-03-09T02:44:00Z,507,480,0,0,15,11
Ramey Smyth,21,3/9 11:59:00,14,3/9 19:59:00,14,8h 0m,8h 47m,3/9 03:12:00,6.26,Shageluk,2018-03-09T11:59:00Z,2018-03-09T19:59:00Z,2018-03-09T03:12:00Z,527,480,0,0,16,8
Martin Buser,28,3/9 13:28:00,15,3/9 21:28:00,15,8h 0m,9h 39m,3/9 03:49:00,5.7,Shageluk,2018-03-09T13:28:00Z,2018-03-09T21:28:00Z,2018-03-09T03:49:00Z,579,480,0,0,20,28
Michi Konno,63,3/9 13:31:00,13,3/9 21:32:00,12,8h 1m,9h 17m,3/9 04:14:00,5.92,Shageluk,2018-03-09T13:31:00Z,2018-03-09T21:32:00Z,2018-03-09T04:14:00Z,557,481,1,0,21,23
Ryan Redington,7,3/9 14:11:00,11,3/9 22:19:00,11,8h 8m,9h 31m,3/9 04:40:00,5.78,Shageluk,2018-03-09T14:11:00Z,2018-03-09T22:19:00Z,2018-03-09T04:40:00Z,571,488,0,0,24,NA
Cody Strathe,2,3/9 19:06:00,14,3/9 23:06:00,13,4h 0m,13h 28m,3/9 05:38:00,4.08,Shageluk,2018-03-09T19:06:00Z,2018-03-09T23:06:00Z,2018-03-09T05:38:00Z,808,240,1,0,27,29
Rick Casillo,9,3/9 16:20:00,13,3/10 00:33:00,12,8h 13m,12h 27m,3/9 03:53:00,4.42,Shageluk,2018-03-09T16:20:00Z,2018-03-10T00:33:00Z,2018-03-09T03:53:00Z,747,493,1,0,26,27
Tom Knolmayer,43,3/9 21:31:00,13,3/10 01:46:00,13,4h 15m,11h 30m,3/9 10:01:00,4.78,Shageluk,2018-03-09T21:31:00Z,2018-03-10T01:46:00Z,2018-03-09T10:01:00Z,690,255,0,0,31,32
Katherine Keith,51,3/9 19:55:00,14,3/10 02:29:00,14,6h 34m,10h 11m,3/9 09:44:00,5.4,Shageluk,2018-03-09T19:55:00Z,2018-03-10T02:29:00Z,2018-03-09T09:44:00Z,611,394,0,0,30,26
Jessie Holmes,41,3/9 19:30:00,15,3/10 03:32:00,14,8h 2m,12h 26m,3/9 07:04:00,4.42,Shageluk,2018-03-09T19:30:00Z,2018-03-10T03:32:00Z,2018-03-09T07:04:00Z,746,482,1,0,28,7
Anna Berington,4,3/9 19:42:00,12,3/10 03:50:00,12,8h 8m,8h 31m,3/9 11:11:00,6.46,Shageluk,2018-03-09T19:42:00Z,2018-03-10T03:50:00Z,2018-03-09T11:11:00Z,511,488,0,0,29,22
Larry Daugherty,14,3/10 03:59:00,15,3/10 04:23:00,15,0h 24m,8h 35m,3/9 19:24:00,6.41,Shageluk,2018-03-10T03:59:00Z,2018-03-10T04:23:00Z,2018-03-09T19:24:00Z,515,24,0,0,35,40
"Michael Williams, Jr.",27,3/10 00:54:00,13,3/10 05:40:00,12,4h 46m,11h 3m,3/9 13:51:00,4.98,Shageluk,2018-03-10T00:54:00Z,2018-03-10T05:40:00Z,2018-03-09T13:51:00Z,663,286,1,0,34,25
Jeff King,40,3/10 00:53:00,13,3/10 06:07:00,13,5h 14m,7h 49m,3/9 17:04:00,7.04,Shageluk,2018-03-10T00:53:00Z,2018-03-10T06:07:00Z,2018-03-09T17:04:00Z,469,314,0,0,33,24
Charley Bejna,38,3/9 22:42:00,14,3/10 06:29:00,14,7h 47m,8h 40m,3/9 14:02:00,6.35,Shageluk,2018-03-09T22:42:00Z,2018-03-10T06:29:00Z,2018-03-09T14:02:00Z,520,467,0,0,32,35
Robert Redington,34,3/9 13:24:00,12,3/10 10:07:00,11,20h 43m,9h 14m,3/9 04:10:00,5.96,Shageluk,2018-03-09T13:24:00Z,2018-03-10T10:07:00Z,2018-03-09T04:10:00Z,554,1243,1,0,18,NA
Bradley Farquhar,65,3/10 06:18:00,11,3/10 12:10:00,11,5h 52m,8h 19m,3/9 21:59:00,6.61,Shageluk,2018-03-10T06:18:00Z,2018-03-10T12:10:00Z,2018-03-09T21:59:00Z,499,352,0,0,37,44
Noah Pereira,49,3/10 11:00:00,12,3/10 13:00:00,11,2h 0m,13h 45m,3/9 21:15:00,4,Shageluk,2018-03-10T11:00:00Z,2018-03-10T13:00:00Z,2018-03-09T21:15:00Z,825,120,1,0,41,31
Jim Lanier,32,3/10 06:39:00,15,3/10 13:26:00,15,6h 47m,7h 29m,3/9 23:10:00,7.35,Shageluk,2018-03-10T06:39:00Z,2018-03-10T13:26:00Z,2018-03-09T23:10:00Z,449,407,0,0,38,NA
Emily Maxwell,58,3/10 06:17:00,13,3/10 14:17:00,13,8h 0m,8h 7m,3/9 22:10:00,6.78,Shageluk,2018-03-10T06:17:00Z,2018-03-10T14:17:00Z,2018-03-09T22:10:00Z,487,480,0,0,36,33
Aaron Peck,50,3/10 11:09:00,14,3/10 14:45:00,14,3h 36m,12h 32m,3/9 22:37:00,4.39,Shageluk,2018-03-10T11:09:00Z,2018-03-10T14:45:00Z,2018-03-09T22:37:00Z,752,216,0,0,42,34
Andy Pohl,12,3/10 09:32:00,12,3/10 15:18:00,12,5h 46m,12h 7m,3/9 21:25:00,4.54,Shageluk,2018-03-10T09:32:00Z,2018-03-10T15:18:00Z,2018-03-09T21:25:00Z,727,346,0,0,40,37
Kristy Berington,20,3/10 08:30:00,13,3/10 15:32:00,13,7h 2m,11h 6m,3/9 21:24:00,4.95,Shageluk,2018-03-10T08:30:00Z,2018-03-10T15:32:00Z,2018-03-09T21:24:00Z,666,422,0,0,39,36
Monica Zappa,48,3/10 13:43:00,14,3/10 18:28:00,14,4h 45m,11h 4m,3/10 02:39:00,4.97,Shageluk,2018-03-10T13:43:00Z,2018-03-10T18:28:00Z,2018-03-10T02:39:00Z,664,285,0,0,46,38
Lev Shvarts,22,3/10 18:31:00,14,3/10 18:37:00,14,0h 6m,10h 39m,3/10 07:52:00,5.16,Shageluk,2018-03-10T18:31:00Z,2018-03-10T18:37:00Z,2018-03-10T07:52:00Z,639,6,0,0,56,41
Dave Delcourt,57,3/10 13:01:00,14,3/10 18:59:00,13,5h 58m,8h 1m,3/10 05:00:00,6.86,Shageluk,2018-03-10T13:01:00Z,2018-03-10T18:59:00Z,2018-03-10T05:00:00Z,481,358,1,0,44,47
Allen Moore,26,3/10 13:42:00,13,3/10 19:38:00,13,5h 56m,10h 40m,3/10 03:02:00,5.16,Shageluk,2018-03-10T13:42:00Z,2018-03-10T19:38:00Z,2018-03-10T03:02:00Z,640,356,0,0,45,NA
Brett Bruggeman,37,3/10 13:43:00,15,3/10 19:45:00,15,6h 2m,10h 34m,3/10 03:09:00,5.21,Shageluk,2018-03-10T13:43:00Z,2018-03-10T19:45:00Z,2018-03-10T03:09:00Z,634,362,0,0,47,39
Scott Janssen,23,3/10 11:52:00,14,3/10 20:25:00,14,8h 33m,10h 14m,3/10 01:38:00,5.37,Shageluk,2018-03-10T11:52:00Z,2018-03-10T20:25:00Z,2018-03-10T01:38:00Z,614,513,0,0,43,NA
Shaynee Traska,5,3/10 17:55:00,15,3/10 21:35:00,13,3h 40m,10h 59m,3/10 06:56:00,5.01,Shageluk,2018-03-10T17:55:00Z,2018-03-10T21:35:00Z,2018-03-10T06:56:00Z,659,220,2,0,52,48
Peter Fleck,67,3/10 21:57:00,14,3/10 22:06:00,14,0h 9m,12h 5m,3/10 09:52:00,4.55,Shageluk,2018-03-10T21:57:00Z,2018-03-10T22:06:00Z,2018-03-10T09:52:00Z,725,9,0,0,57,42
Andrew Nolan,56,3/10 14:17:00,12,3/10 22:27:00,12,8h 10m,7h 34m,3/10 06:43:00,7.27,Shageluk,2018-03-10T14:17:00Z,2018-03-10T22:27:00Z,2018-03-10T06:43:00Z,454,490,0,0,48,30
Jeff Deeter,45,3/10 14:29:00,10,3/10 22:37:00,9,8h 8m,11h 26m,3/10 03:03:00,4.81,Shageluk,2018-03-10T14:29:00Z,2018-03-10T22:37:00Z,2018-03-10T03:03:00Z,686,488,1,0,49,43
Alan Eischens,53,3/10 15:09:00,14,3/11 00:29:00,14,9h 20m,8h 15m,3/10 06:54:00,6.67,Shageluk,2018-03-10T15:09:00Z,2018-03-11T00:29:00Z,2018-03-10T06:54:00Z,495,560,0,0,50,NA
Meredith Mapes,16,3/10 16:41:00,12,3/11 03:12:00 *,12,9h 31m,7h 46m,3/10 08:55:00,7.08,Shageluk,2018-03-10T16:41:00Z,2018-03-11T03:12:00Z,2018-03-10T08:55:00Z,466,631,0,0,51,49
Rob Cooke,10,3/10 18:30:00,14,3/11 03:31:00 *,14,8h 1m,9h 3m,3/10 09:27:00,6.08,Shageluk,2018-03-10T18:30:00Z,2018-03-11T03:31:00Z,2018-03-10T09:27:00Z,543,541,0,0,54,NA
Misha Wiljes,19,3/10 18:29:00,14,3/11 03:50:00 *,14,8h 21m,7h 35m,3/10 10:54:00,7.25,Shageluk,2018-03-10T18:29:00Z,2018-03-11T03:50:00Z,2018-03-10T10:54:00Z,455,561,0,0,53,45
Anja Radano,24,3/10 23:10:00,13,3/11 04:42:00 *,13,4h 32m,11h 13m,3/10 11:57:00,4.9,Shageluk,2018-03-10T23:10:00Z,2018-03-11T04:42:00Z,2018-03-10T11:57:00Z,673,332,0,0,59,51
Jason Stewart,66,3/10 18:30:00,15,3/11 05:19:00 *,15,9h 49m,7h 16m,3/10 11:14:00,7.57,Shageluk,2018-03-10T18:30:00Z,2018-03-11T05:19:00Z,2018-03-10T11:14:00Z,436,649,0,0,55,50
Magnus Kaltenborn,6,3/10 22:57:00,16,3/11 06:07:00 *,16,6h 10m,11h 19m,3/10 11:38:00,4.86,Shageluk,2018-03-10T22:57:00Z,2018-03-11T06:07:00Z,2018-03-10T11:38:00Z,679,430,0,0,58,52
Tim Muto,42,3/10 23:48:00,13,3/11 07:00:00 *,13,6h 12m,11h 11m,3/10 12:37:00,4.92,Shageluk,2018-03-10T23:48:00Z,2018-03-11T07:00:00Z,2018-03-10T12:37:00Z,671,432,0,0,61,46
Marcelle Fressineau,35,3/10 23:22:00,13,3/11 08:22:00 *,13,8h 0m,9h 9m,3/10 14:13:00,6.01,Shageluk,2018-03-10T23:22:00Z,2018-03-11T08:22:00Z,2018-03-10T14:13:00Z,549,540,0,0,60,NA
Tara Cicatello,44,3/11 16:26:00,13,3/12 00:27:00,13,8h 1m,13h 19m,3/11 03:07:00,4.13,Shageluk,2018-03-11T16:26:00Z,2018-03-12T00:27:00Z,2018-03-11T03:07:00Z,799,481,0,0,62,NA
Steve Watkins,59,3/11 17:14:00,13,3/12 01:07:00,12,7h 53m,12h 44m,3/11 04:30:00,4.32,Shageluk,2018-03-11T17:14:00Z,2018-03-12T01:07:00Z,2018-03-11T04:30:00Z,764,473,1,0,63,NA
Tom Schonberger,25,3/11 19:16:00,11,3/12 01:55:00,11,6h 39m,13h 45m,3/11 05:31:00,4,Shageluk,2018-03-11T19:16:00Z,2018-03-12T01:55:00Z,2018-03-11T05:31:00Z,825,399,0,0,64,NA
Mitch Seavey,13,3/9 10:51:00,13,3/9 11:04:00,12,0h 13m,3h 23m,3/9 07:28:00,7.39,Anvik,2018-03-09T10:51:00Z,2018-03-09T11:04:00Z,2018-03-09T07:28:00Z,203,13,1,0,2,3
Joar Leifseth Ulsom,33,3/9 10:59:00,15,3/9 11:06:00,15,0h 7m,3h 17m,3/9 07:42:00,7.61,Anvik,2018-03-09T10:59:00Z,2018-03-09T11:06:00Z,2018-03-09T07:42:00Z,197,7,0,0,3,1
Nicolas Petit,46,3/9 05:21:00,14,3/9 13:21:00,14,8h 0m,3h 9m,3/9 02:12:00,7.94,Anvik,2018-03-09T05:21:00Z,2018-03-09T13:21:00Z,2018-03-09T02:12:00Z,189,480,0,0,1,2
Peter Kaiser,30,3/9 18:55:00,12,3/9 18:56:00,12,0h 1m,3h 26m,3/9 15:29:00,7.28,Anvik,2018-03-09T18:55:00Z,2018-03-09T18:56:00Z,2018-03-09T15:29:00Z,206,1,0,0,4,5
Richie Diehl,29,3/9 19:02:00,13,3/9 19:06:00,13,0h 4m,3h 37m,3/9 15:25:00,6.91,Anvik,2018-03-09T19:02:00Z,2018-03-09T19:06:00Z,2018-03-09T15:25:00Z,217,4,0,0,5,6
Ray Redington Jr,17,3/9 19:10:00,14,3/9 19:11:00,14,0h 1m,3h 36m,3/9 15:34:00,6.94,Anvik,2018-03-09T19:10:00Z,2018-03-09T19:11:00Z,2018-03-09T15:34:00Z,216,1,0,0,6,4
Wade Marrs,11,3/9 19:35:00,12,3/9 19:36:00,12,0h 1m,3h 37m,3/9 15:58:00,6.91,Anvik,2018-03-09T19:35:00Z,2018-03-09T19:36:00Z,2018-03-09T15:58:00Z,217,1,0,0,7,NA
Linwood Fiedler,8,3/9 19:36:00,13,3/9 19:48:00,13,0h 12m,3h 35m,3/9 16:01:00,6.98,Anvik,2018-03-09T19:36:00Z,2018-03-09T19:48:00Z,2018-03-09T16:01:00Z,215,12,0,0,8,10
Jessie Royer,36,3/9 19:45:00,14,3/9 19:55:00,13,0h 10m,3h 47m,3/9 15:58:00,6.61,Anvik,2018-03-09T19:45:00Z,2018-03-09T19:55:00Z,2018-03-09T15:58:00Z,227,10,1,0,9,16
Aaron Burmeister,64,3/9 20:12:00,13,3/9 20:24:00,12,0h 12m,3h 57m,3/9 16:15:00,6.33,Anvik,2018-03-09T20:12:00Z,2018-03-09T20:24:00Z,2018-03-09T16:15:00Z,237,12,1,0,10,12
