musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Tim Muto,42,3/4 19:48:00,14,3/4 19:53:00,14,0h 5m,4h 28m,3/4 15:20:00,9.4,Yentna,2018-03-04T19:48:00Z,2018-03-04T19:53:00Z,2018-03-04T15:20:00Z,268,5,0,0,48,46
Allen Moore,26,3/4 18:53:00,16,3/4 19:58:00,16,1h 5m,4h 5m,3/4 14:48:00,10.29,Yentna,2018-03-04T18:53:00Z,2018-03-04T19:58:00Z,2018-03-04T14:48:00Z,245,65,0,0,24,NA
Kelly Maixner,52,3/4 19:57:00,16,3/4 19:59:00,16,0h 2m,4h 17m,3/4 15:40:00,9.81,Yentna,2018-03-04T19:57:00Z,2018-03-04T19:59:00Z,2018-03-04T15:40:00Z,257,2,0,0,50,17
Michi Konno,63,3/4 19:56:00,16,3/4 20:00:00,16,0h 4m,3h 54m,3/4 16:02:00,10.77,Yentna,2018-03-04T19:56:00Z,2018-03-04T20:00:00Z,2018-03-04T16:02:00Z,234,4,0,0,49,23
Travis Beals,60,3/4 19:57:00,16,3/4 20:00:00,16,0h 3m,4h 1m,3/4 15:56:00,10.46,Yentna,2018-03-04T19:57:00Z,2018-03-04T20:00:00Z,2018-03-04T15:56:00Z,241,3,0,0,51,9
Steve Watkins,59,3/4 20:05:00,16,3/4 20:05:00,16,0h 0m,4h 11m,3/4 15:54:00,10.04,Yentna,2018-03-04T20:05:00Z,2018-03-04T20:05:00Z,2018-03-04T15:54:00Z,251,0,0,0,57,NA
Aaron Burmeister,64,3/4 20:03:00,16,3/4 20:07:00,16,0h 4m,3h 59m,3/4 16:04:00,10.54,Yentna,2018-03-04T20:03:00Z,2018-03-04T20:07:00Z,2018-03-04T16:04:00Z,239,4,0,0,54,12
Aaron Peck,50,3/4 20:04:00,16,3/4 20:08:00,16,0h 4m,4h 28m,3/4 15:36:00,9.4,Yentna,2018-03-04T20:04:00Z,2018-03-04T20:08:00Z,2018-03-04T15:36:00Z,268,4,0,0,55,34
Katherine Keith,51,3/4 20:08:00,16,3/4 20:14:00,16,0h 6m,4h 30m,3/4 15:38:00,9.33,Yentna,2018-03-04T20:08:00Z,2018-03-04T20:14:00Z,2018-03-04T15:38:00Z,270,6,0,0,58,26
Hugh Neff,68,3/4 20:15:00,16,3/4 20:15:00,16,0h 0m,4h 3m,3/4 16:12:00,10.37,Yentna,2018-03-04T20:15:00Z,2018-03-04T20:15:00Z,2018-03-04T16:12:00Z,243,0,0,0,61,21
Martin Buser,28,3/4 18:49:00,16,3/4 20:28:00,16,1h 39m,3h 57m,3/4 14:52:00,10.63,Yentna,2018-03-04T18:49:00Z,2018-03-04T20:28:00Z,2018-03-04T14:52:00Z,237,99,0,0,21,28
Ketil Reitan,54,3/4 20:00:00,16,3/4 20:28:00,16,0h 28m,4h 16m,3/4 15:44:00,9.84,Yentna,2018-03-04T20:00:00Z,2018-03-04T20:28:00Z,2018-03-04T15:44:00Z,256,28,0,0,53,14
Emily Maxwell,58,3/4 20:04:00,15,3/4 20:30:00,15,0h 26m,4h 12m,3/4 15:52:00,10,Yentna,2018-03-04T20:04:00Z,2018-03-04T20:30:00Z,2018-03-04T15:52:00Z,252,26,0,0,56,33
Jeff King,40,3/4 19:19:00,16,3/4 20:53:00,16,1h 34m,4h 3m,3/4 15:16:00,10.37,Yentna,2018-03-04T19:19:00Z,2018-03-04T20:53:00Z,2018-03-04T15:16:00Z,243,94,0,0,39,24
Marcelle Fressineau,35,3/4 19:27:00,14,3/4 21:24:00,14,1h 57m,4h 21m,3/4 15:06:00,9.66,Yentna,2018-03-04T19:27:00Z,2018-03-04T21:24:00Z,2018-03-04T15:06:00Z,261,117,0,0,41,NA
Lev Shvarts,22,3/4 19:00:00,16,3/4 22:02:00,16,3h 2m,4h 20m,3/4 14:40:00,9.69,Yentna,2018-03-04T19:00:00Z,2018-03-04T22:02:00Z,2018-03-04T14:40:00Z,260,182,0,0,28,41
Matthew Failor,55,3/4 22:01:00,16,3/4 22:05:00,16,0h 4m,6h 15m,3/4 15:46:00,6.72,Yentna,2018-03-04T22:01:00Z,2018-03-04T22:05:00Z,2018-03-04T15:46:00Z,375,4,0,0,67,13
Magnus Kaltenborn,6,3/4 18:23:00,16,3/4 22:12:00,16,3h 49m,4h 15m,3/4 14:08:00,9.88,Yentna,2018-03-04T18:23:00Z,2018-03-04T22:12:00Z,2018-03-04T14:08:00Z,255,229,0,0,8,52
Bradley Farquhar,65,3/4 20:15:00,14,3/4 22:20:00,14,2h 5m,4h 9m,3/4 16:06:00,10.12,Yentna,2018-03-04T20:15:00Z,2018-03-04T22:20:00Z,2018-03-04T16:06:00Z,249,125,0,0,62,44
Alan Eischens,53,3/4 19:36:00,16,3/4 22:32:00,16,2h 56m,3h 54m,3/4 15:42:00,10.77,Yentna,2018-03-04T19:36:00Z,2018-03-04T22:32:00Z,2018-03-04T15:42:00Z,234,176,0,0,42,NA
Meredith Mapes,16,3/4 18:37:00,16,3/4 23:07:00,16,4h 30m,4h 9m,3/4 14:28:00,10.12,Yentna,2018-03-04T18:37:00Z,2018-03-04T23:07:00Z,2018-03-04T14:28:00Z,249,270,0,0,16,49
Misha Wiljes,19,3/4 18:38:00,14,3/4 23:18:00,14,4h 40m,4h 4m,3/4 14:34:00,10.33,Yentna,2018-03-04T18:38:00Z,2018-03-04T23:18:00Z,2018-03-04T14:34:00Z,244,280,0,0,17,45
Dave Delcourt,57,3/4 20:08:00,16,3/4 23:20:00,16,3h 12m,4h 18m,3/4 15:50:00,9.77,Yentna,2018-03-04T20:08:00Z,2018-03-04T23:20:00Z,2018-03-04T15:50:00Z,258,192,0,0,59,47
Andrew Nolan,56,3/4 20:11:00,16,3/4 23:31:00,16,3h 20m,4h 23m,3/4 15:48:00,9.58,Yentna,2018-03-04T20:11:00Z,2018-03-04T23:31:00Z,2018-03-04T15:48:00Z,263,200,0,0,60,30
Noah Pereira,49,3/4 19:43:00,16,3/4 23:44:00,16,4h 1m,4h 9m,3/4 15:34:00,10.12,Yentna,2018-03-04T19:43:00Z,2018-03-04T23:44:00Z,2018-03-04T15:34:00Z,249,241,0,0,46,31
Scott White,62,3/4 19:57:00,16,3/4 23:59:00,16,4h 2m,3h 57m,3/4 16:00:00,10.63,Yentna,2018-03-04T19:57:00Z,2018-03-04T23:59:00Z,2018-03-04T16:00:00Z,237,242,0,0,52,NA
Anja Radano,24,3/4 19:10:00,16,3/5 00:01:00,16,4h 51m,4h 26m,3/4 14:44:00,9.47,Yentna,2018-03-04T19:10:00Z,2018-03-05T00:01:00Z,2018-03-04T14:44:00Z,266,291,0,0,33,51
Zoya DeNure,47,3/4 19:43:00,15,3/5 00:07:00,15,4h 24m,4h 13m,3/4 15:30:00,9.96,Yentna,2018-03-04T19:43:00Z,2018-03-05T00:07:00Z,2018-03-04T15:30:00Z,253,264,0,0,47,NA
Tom Schonberger,25,3/4 20:16:00,16,3/5 00:31:00,16,4h 15m,5h 30m,3/4 14:46:00,7.64,Yentna,2018-03-04T20:16:00Z,2018-03-05T00:31:00Z,2018-03-04T14:46:00Z,330,255,0,0,63,NA
Jason Stewart,66,3/4 20:18:00,16,3/5 00:44:00,16,4h 26m,4h 10m,3/4 16:08:00,10.08,Yentna,2018-03-04T20:18:00Z,2018-03-05T00:44:00Z,2018-03-04T16:08:00Z,250,266,0,0,64,50
Peter Fleck,67,3/4 20:47:00,16,3/5 01:00:00,16,4h 13m,4h 37m,3/4 16:10:00,9.1,Yentna,2018-03-04T20:47:00Z,2018-03-05T01:00:00Z,2018-03-04T16:10:00Z,277,253,0,0,66,42
Tara Cicatello,44,3/4 20:29:00,14,3/5 01:30:00,14,5h 1m,5h 5m,3/4 15:24:00,8.26,Yentna,2018-03-04T20:29:00Z,2018-03-05T01:30:00Z,2018-03-04T15:24:00Z,305,301,0,0,65,NA
